CustomerID,Country,MNOPartner,CustomerTenureMonths,AverageMonthlyTopUp,TopUpFrequency,BehavioralScore,RegistrationDate
C000896,Pakistan,Telenor Pakistan,41,12.84,29,883,22/07/2021
C000897,Nigeria,MTN Nigeria,25,15.15,12,469,16/11/2022
C000898,Nigeria,Airtel Nigeria,61,20.59,24,719,02/12/2019
C000899,Nigeria,MTN Nigeria,13,9.36,4,308,26/11/2023
C000900,Kenya,Safaricom,29,13.38,7,500,08/08/2022
C000901,Kenya,Airtel Kenya,20,10.76,12,465,22/04/2023
C000902,Nigeria,MTN Nigeria,22,12.66,18,598,23/02/2023
C000903,Nigeria,MTN Nigeria,28,20.02,18,676,02/09/2022
C000904,Kenya,Airtel Kenya,18,11.85,18,692,27/06/2023
C000905,Pakistan,Telenor Pakistan,48,8.88,23,532,16/01/2021
C000906,Ghana,Telecel Ghana,19,5.38,1,300,28/05/2023
C000907,Kenya,Safaricom,40,12.2,19,636,22/08/2021
C000908,Nigeria,Airtel Nigeria,18,12.33,8,325,29/06/2023
C000909,Nigeria,MTN Nigeria,52,16.15,20,738,09/09/2020
C000910,Nigeria,MTN Nigeria,36,22.36,21,743,20/12/2021
C000911,Uganda,Airtel Uganda,47,12,22,794,27/01/2021
C000912,Pakistan,Jazz,32,9.03,17,645,24/04/2022
C000913,Pakistan,Telenor Pakistan,73,11.83,19,591,03/01/2019
C000914,Pakistan,Jazz,55,9.08,17,647,01/06/2020
C000915,Pakistan,Jazz,54,12.78,36,795,24/07/2020
C000916,Pakistan,Telenor Pakistan,73,14.64,22,,02/01/2019
C000917,Nigeria,Airtel Nigeria,60,20.55,24,673,18/01/2020
C000918,Nigeria,Airtel Nigeria,14,14.75,17,583,27/10/2023
C000919,Kenya,Airtel Kenya,42,17.91,21,716,18/07/2021
C000920,Ghana,MTN Ghana,23,10.28,15,435,25/01/2023
C000921,Nigeria,MTN Nigeria,41,15.19,7,551,24/07/2021
C000922,Uganda,MTN Uganda,38,10.28,20,661,30/10/2021
C000923,Ghana,Telecel Ghana,43,11.93,17,710,24/05/2021
C000924,Kenya,Safaricom,33,,16,643,22/03/2022
C000925,Nigeria,Airtel Nigeria,45,14.25,10,512,29/03/2021
C000926,Nigeria,MTN Nigeria,9,12.86,9,536,01/04/2024
C000927,Nigeria,Airtel Nigeria,36,19.93,12,674,29/12/2021
C000928,Pakistan,Zong,22,10.36,24,769,11/03/2023
C000929,Ghana,Telecel Ghana,32,10.1,21,739,24/04/2022
C000930,Uganda,MTN Uganda,39,8.27,13,576,23/09/2021
C000931,Nigeria,Glo Nigeria,34,11.58,15,,15/03/2022
C000932,Kenya,Safaricom,43,16.54,24,750,06/06/2021
C000933,Kenya,Safaricom,62,15.44,19,709,26/11/2019
C000934,Uganda,MTN Uganda,64,8.27,32,693,14/09/2019
C000935,Uganda,MTN Uganda,35,7.73,19,598,03/02/2022
C000936,Nigeria,Airtel Nigeria,28,10.07,19,451,19/08/2022
C000937,Pakistan,Jazz,44,13.18,22,790,14/05/2021
C000938,Nigeria,MTN Nigeria,48,15.69,18,637,31/12/2020
C000939,Pakistan,Telenor Pakistan,23,11.87,13,660,23/01/2023
C000940,Nigeria,Airtel Nigeria,72,20.47,19,716,12/01/2019
C000941,Nigeria,Airtel Nigeria,54,15.79,14,611,28/06/2020
C000942,Uganda,Airtel Uganda,31,8.42,34,765,11/06/2022
C000943,Nigeria,MTN Nigeria,23,14.86,12,588,11/02/2023
C000944,Kenya,Airtel Kenya,47,13.1,17,656,03/02/2021
C000945,Kenya,Safaricom,41,14.33,15,724,17/08/2021
C000946,Nigeria,MTN Nigeria,62,26.49,27,822,16/11/2019
C000947,Uganda,MTN Uganda,47,9.55,20,802,06/02/2021
C000948,Pakistan,Telenor Pakistan,69,10.46,25,729,15/04/2019
C000949,Pakistan,Jazz,35,11.3,8,588,16/02/2022
C000950,Kenya,Safaricom,66,14.25,12,527,15/07/2019
C000951,Kenya,Safaricom,48,13.7,10,636,30/12/2020
C000952,Nigeria,MTN Nigeria,25,19.72,18,719,13/12/2022
C000953,Nigeria,MTN Nigeria,70,13.69,16,636,23/03/2019
C000954,Nigeria,MTN Nigeria,62,22.3,18,723,19/11/2019
C000955,Pakistan,Jazz,53,12.49,19,743,15/08/2020
C000956,Pakistan,Telenor Pakistan,69,13.88,31,889,20/04/2019
C000957,Uganda,MTN Uganda,32,9.95,31,772,13/05/2022
C000958,Kenya,Safaricom,13,13.76,19,648,23/11/2023
C000959,Kenya,Safaricom,35,14.57,12,593,14/02/2022
C000960,Kenya,Safaricom,74,13.81,25,813,02/12/2018
C000961,Kenya,Safaricom,36,11.87,11,526,01/01/2022
C000962,Kenya,Safaricom,54,8.93,15,507,30/06/2020
C000963,Nigeria,MTN Nigeria,77,25.7,28,863,15/08/2018
C000964,Nigeria,MTN Nigeria,44,16.22,13,696,12/05/2021
C000965,Pakistan,Telenor Pakistan,54,11.88,20,603,16/07/2020
C000966,Kenya,Safaricom,53,11.77,16,530,11/08/2020
C000967,Pakistan,Telenor Pakistan,38,10.19,23,634,17/11/2021
C000968,Nigeria,MTN Nigeria,43,18.17,19,724,02/06/2021
C000969,Ghana,Telecel Ghana,35,10.46,15,559,12/02/2022
C000970,Nigeria,Airtel Nigeria,3,16.2,13,643,12/09/2024
C000971,Nigeria,MTN Nigeria,40,15.32,15,595,08/09/2021
C000972,Nigeria,MTN Nigeria,60,17.57,24,770,17/01/2020
C000973,Nigeria,MTN Nigeria,52,19.04,20,770,11/09/2020
C000974,Pakistan,Zong,43,11.7,18,619,18/06/2021
C000975,Kenya,Airtel Kenya,38,12.14,17,631,11/11/2021
C000976,Ghana,MTN Ghana,1,11.13,10,513,26/11/2024
C000977,Kenya,Airtel Kenya,63,15.97,22,621,05/10/2019
C000978,Kenya,Safaricom,26,13.01,12,538,09/11/2022
C000979,Kenya,Safaricom,24,9.72,14,562,09/01/2023
C000980,Nigeria,Airtel Nigeria,64,19.38,14,697,23/09/2019
C000981,Pakistan,Telenor Pakistan,47,10.77,16,556,09/02/2021
C000982,Uganda,MTN Uganda,30,6.75,8,472,28/06/2022
C000983,Uganda,Airtel Uganda,41,7.02,16,521,08/08/2021
C000984,Kenya,Safaricom,7,9.67,4,459,20/05/2024
C000985,Nigeria,Airtel Nigeria,45,18.82,23,727,07/04/2021
C000986,Pakistan,Jazz,45,6.38,1,466,17/04/2021
C000987,Kenya,Safaricom,20,10.3,15,523,12/05/2023
C000988,Nigeria,MTN Nigeria,42,24.22,26,858,01/07/2021
C000989,Kenya,Airtel Kenya,26,10.39,11,457,16/10/2022
C000990,Uganda,MTN Uganda,49,9.39,19,747,22/12/2020
C000991,Ghana,MTN Ghana,44,12.95,11,582,25/04/2021
C000992,Uganda,Airtel Uganda,31,10.2,22,797,20/05/2022
C000993,Uganda,Airtel Uganda,1,6.92,15,567,09/11/2024
C000994,Nigeria,Glo Nigeria,43,12.35,14,510,05/06/2021
C000995,Pakistan,Telenor Pakistan,32,10.87,23,749,07/05/2022
C000996,Kenya,Safaricom,39,16.39,18,758,02/10/2021
C000997,Ghana,MTN Ghana,11,9.92,27,694,06/02/2024
C000998,Nigeria,Airtel Nigeria,62,23.06,22,735,21/11/2019
C000999,Pakistan,Zong,46,12.76,16,663,12/03/2021
C001000,Nigeria,Airtel Nigeria,52,18.24,23,745,09/09/2020
C001001,Nigeria,MTN Nigeria,54,23.14,23,766,18/07/2020
C001002,Kenya,Safaricom,1,9.01,5,355,20/11/2024
C001003,Nigeria,Airtel Nigeria,31,22.64,19,723,26/05/2022
C001004,Nigeria,MTN Nigeria,46,19.19,28,809,23/02/2021
C001005,Ghana,MTN Ghana,34,13.44,27,711,22/02/2022
C001006,Kenya,Safaricom,28,9.73,5,546,12/09/2022
C001007,Pakistan,Telenor Pakistan,54,9.55,28,779,09/07/2020
C001008,Kenya,Airtel Kenya,50,15.3,15,587,10/11/2020
C001009,Uganda,Airtel Uganda,16,8.3,18,630,25/08/2023
C001010,Kenya,Airtel Kenya,50,16.05,28,772,31/10/2020
C001011,Ghana,Telecel Ghana,47,9.67,5,604,12/02/2021
C001012,Ghana,Telecel Ghana,34,15.7,25,745,02/03/2022
C001013,Kenya,Safaricom,38,13.54,23,658,23/10/2021
C001014,Pakistan,Telenor Pakistan,33,6.89,7,474,01/04/2022
C001015,Kenya,Safaricom,56,18.94,20,853,11/05/2020
C001016,Nigeria,MTN Nigeria,45,13.85,21,582,26/03/2021
C001017,Ghana,MTN Ghana,34,9.08,6,551,18/03/2022
C001018,Uganda,Airtel Uganda,36,10.28,19,654,06/01/2022
C001019,Nigeria,Airtel Nigeria,12,17.88,16,521,24/12/2023
C001020,Kenya,Airtel Kenya,48,16.93,21,699,22/01/2021
C001021,Pakistan,Zong,36,7.89,17,578,03/01/2022
C001022,Uganda,Airtel Uganda,35,10.03,22,774,20/01/2022
C001023,Pakistan,Jazz,68,16.09,30,895,10/05/2019
C001024,Kenya,Airtel Kenya,68,14.6,20,765,02/06/2019
C001025,Ghana,Telecel Ghana,22,11.34,11,546,15/02/2023
C001026,Kenya,Airtel Kenya,41,16.76,24,799,28/07/2021
C001027,Pakistan,Jazz,10,8.72,2,420,10/02/2024
C001028,Kenya,Safaricom,27,15.87,26,800,10/10/2022
C001029,Uganda,Airtel Uganda,70,11.31,7,644,08/03/2019
C001030,Kenya,Safaricom,41,15.36,23,750,20/08/2021
C001031,Ghana,MTN Ghana,30,13.75,21,688,15/07/2022
C001032,Uganda,MTN Uganda,14,6.82,10,533,29/10/2023
C001033,Kenya,Safaricom,47,17.49,19,812,28/01/2021
C001034,Pakistan,Jazz,25,8.97,14,596,18/11/2022
C001035,Kenya,Airtel Kenya,68,12,23,727,14/05/2019
C001036,Ghana,Telecel Ghana,32,13.54,25,786,16/05/2022
C001037,Kenya,Airtel Kenya,12,10.94,10,586,12/12/2023
C001038,Kenya,Safaricom,44,16.03,16,596,15/05/2021
C001039,Kenya,Safaricom,37,15.78,18,628,26/11/2021
C001040,Nigeria,MTN Nigeria,41,21.29,21,709,12/08/2021
C001041,Nigeria,MTN Nigeria,68,23.01,24,896,17/05/2019
C001042,Ghana,MTN Ghana,40,10.09,17,624,17/09/2021
C001043,Ghana,Telecel Ghana,45,11.83,24,720,24/03/2021
C001044,Ghana,Telecel Ghana,5,7.82,13,478,02/08/2024
C001045,Nigeria,MTN Nigeria,17,18.64,20,670,13/07/2023
C001046,Kenya,Safaricom,39,18.75,29,764,22/09/2021
C001047,Nigeria,MTN Nigeria,31,17.03,22,747,12/06/2022
C001048,Uganda,MTN Uganda,40,6.74,12,600,30/08/2021
C001049,Pakistan,Jazz,16,9.14,16,685,30/08/2023
C001050,Nigeria,MTN Nigeria,23,14.54,13,527,02/02/2023
C001051,Ghana,MTN Ghana,27,7.55,6,522,05/10/2022
C001052,Nigeria,MTN Nigeria,37,16.16,15,617,11/12/2021
C001053,Nigeria,Airtel Nigeria,58,17.29,26,798,29/02/2020
C001054,Nigeria,MTN Nigeria,36,14.54,23,657,16/01/2022
C001055,Nigeria,MTN Nigeria,27,18.58,10,614,04/10/2022
C001056,Ghana,MTN Ghana,70,17.47,24,796,24/03/2019
C001057,Pakistan,Jazz,26,7.75,13,540,01/11/2022
C001058,Nigeria,Airtel Nigeria,51,12.84,12,524,15/10/2020
C001059,Kenya,Airtel Kenya,45,14.97,23,777,03/04/2021
C001060,Uganda,Airtel Uganda,17,6.64,6,364,14/07/2023
C001061,Pakistan,Telenor Pakistan,36,10.33,22,627,28/12/2021
C001062,Ghana,MTN Ghana,38,11.07,20,580,12/11/2021
C001063,Nigeria,MTN Nigeria,23,14.73,20,510,13/01/2023
C001064,Ghana,MTN Ghana,28,11.19,11,488,02/09/2022
C001065,Kenya,Safaricom,50,8.61,9,485,14/11/2020
C001066,Pakistan,Zong,59,9.4,15,692,07/02/2020
C001067,Kenya,Safaricom,61,14.57,18,717,30/11/2019
C001068,Ghana,MTN Ghana,22,12.14,21,675,04/03/2023
C001069,Nigeria,MTN Nigeria,18,13.36,19,593,05/07/2023
C001070,Kenya,Safaricom,36,14.7,16,555,25/12/2021
C001071,Pakistan,Zong,64,13.91,21,805,16/09/2019
C001072,Ghana,MTN Ghana,20,11.26,8,493,21/04/2023
C001073,Kenya,Safaricom,37,19.35,29,746,05/12/2021
C001074,Pakistan,Jazz,57,9.97,12,599,26/04/2020
C001075,Pakistan,Zong,68,16.01,32,867,23/05/2019
C001076,Kenya,Safaricom,54,15.21,18,623,01/07/2020
C001077,Kenya,Safaricom,6,7.25,1,311,07/06/2024
C001078,Kenya,Safaricom,28,14.28,11,603,04/09/2022
C001079,Ghana,MTN Ghana,39,10.74,7,461,29/09/2021
C001080,Kenya,Airtel Kenya,41,17.17,22,707,18/08/2021
C001081,Nigeria,MTN Nigeria,25,17.72,11,582,07/12/2022
C001082,Pakistan,Jazz,27,9.28,24,655,24/09/2022
C001083,Pakistan,Telenor Pakistan,22,10.17,11,520,12/03/2023
C001084,Uganda,MTN Uganda,64,10.58,26,786,08/09/2019
C001085,Pakistan,Jazz,18,11.47,21,664,13/06/2023
C001086,Uganda,Airtel Uganda,66,13.04,33,854,30/07/2019
C001087,Uganda,MTN Uganda,36,10.56,19,732,31/12/2021
C001088,Uganda,MTN Uganda,29,6.91,14,552,05/08/2022
C001089,Kenya,Safaricom,47,17.89,17,765,02/02/2021
C001090,Kenya,Safaricom,32,11.54,16,594,21/04/2022
C001091,Nigeria,MTN Nigeria,31,14.44,20,588,14/06/2022
C001092,Ghana,MTN Ghana,25,8.39,14,548,23/11/2022
C001093,Nigeria,Airtel Nigeria,26,16.91,24,577,08/11/2022
C001094,Nigeria,Airtel Nigeria,52,12.67,16,556,08/09/2020
C001095,Ghana,Telecel Ghana,24,7.91,7,442,30/12/2022
C001096,Kenya,Safaricom,45,18.62,23,731,07/04/2021
C001097,Nigeria,MTN Nigeria,7,10.6,1,359,14/05/2024
C001098,Uganda,MTN Uganda,27,9.92,11,,26/09/2022
C001099,Pakistan,Telenor Pakistan,18,8.35,6,491,01/07/2023
C001100,Nigeria,MTN Nigeria,55,15.93,20,696,07/06/2020
C001101,Nigeria,Airtel Nigeria,38,23.09,22,770,01/11/2021
C001102,Kenya,Safaricom,1,8.28,11,371,30/11/2024
C001103,Uganda,Airtel Uganda,37,10.73,15,597,30/11/2021
C001104,Uganda,Airtel Uganda,32,7.89,12,606,07/05/2022
C001105,Nigeria,MTN Nigeria,40,23.49,28,762,15/09/2021
C001106,Uganda,Airtel Uganda,40,7.24,1,476,04/09/2021
C001107,Nigeria,Glo Nigeria,4,22.42,20,716,19/08/2024
C001108,Kenya,Safaricom,64,12.12,19,655,09/09/2019
C001109,Pakistan,Jazz,58,11.78,19,681,16/03/2020
C001110,Nigeria,Airtel Nigeria,33,15.13,21,685,26/03/2022
C001111,Nigeria,MTN Nigeria,35,21,19,676,08/02/2022
C001112,Kenya,Safaricom,46,12.06,19,630,05/03/2021
C001113,Ghana,MTN Ghana,38,9.57,10,529,21/10/2021
C001114,Pakistan,Zong,34,12.01,13,689,01/03/2022
C001115,Pakistan,Jazz,8,9.17,13,554,16/04/2024
C001116,Nigeria,Airtel Nigeria,69,19.05,12,612,22/04/2019
C001117,Nigeria,MTN Nigeria,40,14.7,7,471,30/08/2021
C001118,Uganda,MTN Uganda,46,8.31,24,700,26/02/2021
C001119,Nigeria,Glo Nigeria,46,21.09,25,690,25/02/2021
C001120,Pakistan,Jazz,51,10.53,23,671,27/09/2020
C001121,Ghana,MTN Ghana,58,13.68,25,730,19/03/2020
C001122,Nigeria,MTN Nigeria,12,16.21,20,693,13/12/2023
C001123,Uganda,Airtel Uganda,27,7.95,18,555,04/10/2022
C001124,Nigeria,MTN Nigeria,7,11.64,6,328,10/05/2024
C001125,Kenya,Safaricom,55,21.87,34,862,26/06/2020
C001126,Ghana,MTN Ghana,53,14.64,15,,29/07/2020
C001127,Kenya,Safaricom,16,16.21,22,683,03/09/2023
C001128,Ghana,MTN Ghana,6,7.32,5,481,29/06/2024
C001129,Ghana,MTN Ghana,6,7.03,8,359,19/06/2024
C001130,Pakistan,Jazz,50,10.24,15,746,08/11/2020
C001131,Pakistan,Jazz,37,8.59,5,454,14/12/2021
C001132,Kenya,Safaricom,55,10.1,8,537,10/06/2020
C001133,Nigeria,Airtel Nigeria,22,16.93,12,484,17/02/2023
C001134,Uganda,MTN Uganda,66,9.92,26,821,18/07/2019
C001135,Pakistan,Jazz,58,9.39,31,742,11/03/2020
C001136,Kenya,Safaricom,58,19.15,22,771,03/03/2020
C001137,Kenya,Airtel Kenya,51,14.39,26,787,19/10/2020
C001138,Kenya,Safaricom,40,12.01,21,722,10/09/2021
C001139,Nigeria,MTN Nigeria,18,16.36,17,577,15/06/2023
C001140,Ghana,MTN Ghana,15,,14,544,05/10/2023
C001141,Kenya,Safaricom,44,12.32,21,633,15/05/2021
C001142,Uganda,MTN Uganda,26,7.07,7,,05/11/2022
C001143,Uganda,MTN Uganda,39,9.05,11,721,25/09/2021
C001144,Uganda,Airtel Uganda,34,7.11,11,449,14/03/2022
C001145,Kenya,Safaricom,27,10.76,5,522,03/10/2022
C001146,Kenya,Safaricom,21,13.47,20,583,31/03/2023
C001147,Uganda,Airtel Uganda,21,6.98,7,460,10/04/2023
C001148,Uganda,MTN Uganda,27,6.52,1,330,11/10/2022
C001149,Kenya,Airtel Kenya,11,11.77,21,476,26/01/2024
C001150,Pakistan,Telenor Pakistan,37,10.29,14,568,16/12/2021
C001151,Nigeria,Airtel Nigeria,25,13.47,9,474,14/11/2022
C001152,Pakistan,Telenor Pakistan,14,7.23,13,463,26/10/2023
C001153,Nigeria,MTN Nigeria,23,12.66,14,488,11/02/2023
C001154,Nigeria,MTN Nigeria,24,20.1,26,749,25/12/2022
C001155,Kenya,Safaricom,29,9.61,6,496,24/07/2022
C001156,Nigeria,MTN Nigeria,1,10.21,10,424,14/11/2024
C001157,Nigeria,MTN Nigeria,62,18.33,20,726,12/11/2019
C001158,Nigeria,MTN Nigeria,50,17.31,20,789,21/11/2020
C001159,Kenya,Safaricom,23,10.56,13,541,21/01/2023
C001160,Uganda,Airtel Uganda,49,8.28,6,546,24/11/2020
C001161,Nigeria,Airtel Nigeria,10,15.3,14,469,26/02/2024
C001162,Ghana,MTN Ghana,35,11.29,20,725,13/02/2022
C001163,Uganda,MTN Uganda,2,8.8,10,513,27/10/2024
C001164,Nigeria,Airtel Nigeria,65,14.81,20,715,12/08/2019
C001165,Nigeria,Glo Nigeria,73,23.64,19,709,15/12/2018
C001166,Pakistan,Telenor Pakistan,8,9.46,18,562,10/04/2024
C001167,Uganda,Airtel Uganda,7,6.12,2,391,24/05/2024
C001168,Kenya,Safaricom,52,17.84,22,781,29/08/2020
C001169,Uganda,MTN Uganda,38,10.3,20,727,10/11/2021
C001170,Nigeria,Airtel Nigeria,51,20.17,19,793,09/10/2020
C001171,Kenya,Airtel Kenya,20,9.21,9,419,23/04/2023
C001172,Uganda,MTN Uganda,51,12.51,17,709,16/10/2020
C001173,Nigeria,MTN Nigeria,33,23.29,16,741,06/04/2022
C001174,Uganda,MTN Uganda,56,11.45,26,808,03/05/2020
C001175,Kenya,Safaricom,26,17.26,25,687,27/10/2022
C001176,Uganda,Airtel Uganda,35,8,18,662,29/01/2022
C001177,Kenya,Safaricom,14,14.43,17,653,21/10/2023
C001178,Kenya,Safaricom,43,16.03,22,769,29/05/2021
C001179,Nigeria,MTN Nigeria,38,17.95,19,729,20/10/2021
C001180,Nigeria,MTN Nigeria,57,22.38,24,690,16/04/2020
C001181,Uganda,MTN Uganda,30,9.37,13,542,06/07/2022
C001182,Nigeria,MTN Nigeria,23,14.41,1,411,15/01/2023
C001183,Nigeria,Airtel Nigeria,37,18.13,21,621,04/12/2021
C001184,Nigeria,Airtel Nigeria,13,17.92,24,706,11/11/2023
C001185,Nigeria,MTN Nigeria,1,10.71,6,304,06/11/2024
C001186,Uganda,Airtel Uganda,29,6.89,3,572,24/07/2022
C001187,Kenya,Safaricom,53,18.99,22,760,04/08/2020
C001188,Pakistan,Jazz,38,8.47,22,670,21/10/2021
C001189,Nigeria,Airtel Nigeria,19,17.55,15,545,03/06/2023
C001190,Ghana,Telecel Ghana,31,11.7,15,,03/06/2022
C001191,Kenya,Airtel Kenya,30,10.52,19,592,30/06/2022
C001192,Kenya,Safaricom,36,8.74,10,456,12/01/2022
C001193,Pakistan,Jazz,55,11.06,24,698,11/06/2020
C001194,Pakistan,Telenor Pakistan,33,9.84,19,667,29/03/2022
C001195,Pakistan,Jazz,37,12.04,17,623,03/12/2021
C001196,Nigeria,MTN Nigeria,43,14.86,21,637,02/06/2021
C001197,Nigeria,Airtel Nigeria,25,10.98,5,384,10/12/2022
C001198,Ghana,MTN Ghana,51,8.04,6,476,10/10/2020
C001199,Nigeria,MTN Nigeria,25,11.06,10,469,16/11/2022
C001200,Uganda,Airtel Uganda,33,4.97,7,345,10/04/2022
C001201,Ghana,MTN Ghana,29,15.22,24,725,02/08/2022
C001202,Ghana,MTN Ghana,19,10.52,15,506,24/05/2023
C001203,Uganda,Airtel Uganda,4,10.51,15,597,16/08/2024
C001204,Uganda,MTN Uganda,32,7.5,12,523,12/05/2022
C001205,Nigeria,MTN Nigeria,38,12.57,9,507,15/11/2021
C001206,Nigeria,Airtel Nigeria,1,11.05,12,504,10/11/2024
C001207,Ghana,MTN Ghana,46,12.46,13,693,08/03/2021
C001208,Kenya,Safaricom,45,10.32,16,599,26/03/2021
C001209,Nigeria,MTN Nigeria,57,15.59,34,764,29/03/2020
C001210,Kenya,Airtel Kenya,6,10.93,3,451,01/07/2024
C001211,Uganda,MTN Uganda,52,8.06,19,661,14/09/2020
C001212,Uganda,Airtel Uganda,48,11.03,23,751,29/12/2020
C001213,Ghana,MTN Ghana,43,11.12,17,582,13/06/2021
C001214,Kenya,Safaricom,10,8.37,1,300,02/03/2024
C001215,Nigeria,MTN Nigeria,35,13.85,14,521,12/02/2022
C001216,Kenya,Safaricom,37,10.35,5,399,03/12/2021
C001217,Kenya,Safaricom,46,15.34,17,767,12/03/2021
C001218,Ghana,Telecel Ghana,42,9.12,20,616,24/06/2021
C001219,Ghana,MTN Ghana,58,10.69,20,646,29/02/2020
C001220,Nigeria,MTN Nigeria,47,15.52,18,758,19/02/2021
C001221,Nigeria,MTN Nigeria,18,15.94,13,587,14/06/2023
C001222,Nigeria,MTN Nigeria,48,19.17,14,628,20/01/2021
C001223,Pakistan,Telenor Pakistan,40,7.68,1,377,29/08/2021
C001224,Ghana,MTN Ghana,61,10.64,22,674,01/12/2019
C001225,Nigeria,MTN Nigeria,28,8.92,9,365,04/09/2022
C001226,Pakistan,Jazz,1,7.16,10,494,28/11/2024
C001227,Kenya,Safaricom,22,15.07,13,548,12/03/2023
C001228,Kenya,Safaricom,42,15.32,24,790,11/07/2021
C001229,Pakistan,Telenor Pakistan,36,9.41,16,587,20/12/2021
C001230,Nigeria,MTN Nigeria,77,16.8,18,791,23/08/2018
C001231,Nigeria,Glo Nigeria,1,11.32,6,321,20/11/2024
C001232,Ghana,MTN Ghana,92,15.13,23,885,12/06/2017
C001233,Nigeria,Airtel Nigeria,8,8.11,7,327,17/04/2024
C001234,Ghana,MTN Ghana,36,13.11,17,743,12/01/2022
C001235,Nigeria,MTN Nigeria,65,23.37,19,798,11/08/2019
C001236,Nigeria,MTN Nigeria,47,15.51,14,565,28/01/2021
C001237,Nigeria,MTN Nigeria,52,22.42,18,676,01/09/2020
C001238,Kenya,Safaricom,36,18.91,22,750,02/01/2022
C001239,Nigeria,Airtel Nigeria,52,19.32,17,712,05/09/2020
C001240,Nigeria,Airtel Nigeria,16,18.43,14,545,29/08/2023
C001241,Pakistan,Telenor Pakistan,36,13.92,23,755,27/12/2021
C001242,Kenya,Safaricom,21,9.42,13,432,23/03/2023
C001243,Kenya,Safaricom,30,16.65,20,680,11/07/2022
C001244,Nigeria,Airtel Nigeria,48,15.47,11,553,13/01/2021
C001245,Kenya,Safaricom,37,15.92,15,727,25/11/2021
C001246,Nigeria,MTN Nigeria,33,16.72,9,601,04/04/2022
C001247,Ghana,Telecel Ghana,15,10.89,13,504,02/10/2023
C001248,Nigeria,Glo Nigeria,49,18.76,17,562,24/11/2020
C001249,Pakistan,Telenor Pakistan,17,7.64,7,490,15/07/2023
C001250,Pakistan,Jazz,59,11.68,20,672,04/02/2020
C001251,Nigeria,Airtel Nigeria,50,16.97,14,577,11/11/2020
C001252,Nigeria,MTN Nigeria,43,24.35,25,770,05/06/2021
C001253,Nigeria,MTN Nigeria,28,13.75,15,497,17/08/2022
C001254,Ghana,MTN Ghana,18,7.49,1,458,26/06/2023
C001255,Nigeria,Glo Nigeria,42,13.73,19,577,27/06/2021
C001256,Pakistan,Zong,11,4.69,5,321,12/01/2024
C001257,Uganda,Airtel Uganda,23,6.25,10,512,18/01/2023
C001258,Uganda,MTN Uganda,34,7.57,12,564,28/02/2022
C001259,Kenya,Safaricom,18,11.86,19,674,01/07/2023
C001260,Pakistan,Jazz,29,10.52,11,531,05/08/2022
C001261,Nigeria,Glo Nigeria,43,14.63,10,563,28/05/2021
C001262,Kenya,Safaricom,53,15.75,21,789,13/08/2020
C001263,Kenya,Safaricom,58,16.85,15,694,21/03/2020
C001264,Pakistan,Telenor Pakistan,19,7.12,15,455,06/06/2023
C001265,Ghana,MTN Ghana,17,9.43,9,443,23/07/2023
C001266,Uganda,Airtel Uganda,10,8.42,19,479,08/02/2024
C001267,Nigeria,MTN Nigeria,34,16.54,19,650,07/03/2022
C001268,Pakistan,Zong,64,9.5,17,577,11/09/2019
C001269,Kenya,Safaricom,26,9.05,4,423,04/11/2022
C001270,Kenya,Safaricom,22,11.54,12,534,02/03/2023
C001271,Pakistan,Telenor Pakistan,29,11.73,20,697,03/08/2022
C001272,Kenya,Safaricom,20,14.02,17,699,02/05/2023
C001273,Kenya,Safaricom,40,16.89,22,809,25/08/2021
C001274,Ghana,MTN Ghana,41,9.68,14,516,24/07/2021
C001275,Nigeria,MTN Nigeria,9,8.06,6,341,29/03/2024
C001276,Kenya,Safaricom,19,10.63,9,570,01/06/2023
C001277,Nigeria,MTN Nigeria,13,13.64,11,466,08/12/2023
C001278,Nigeria,Airtel Nigeria,41,11.61,15,544,29/07/2021
C001279,Pakistan,Telenor Pakistan,39,11.71,15,653,28/09/2021
C001280,Ghana,MTN Ghana,23,12.38,11,559,17/01/2023
C001281,Kenya,Airtel Kenya,19,11.61,11,448,26/05/2023
C001282,Kenya,Safaricom,75,13.28,8,671,08/10/2018
C001283,Kenya,Safaricom,54,12.86,15,597,22/07/2020
C001284,Ghana,MTN Ghana,40,7.95,12,371,08/09/2021
C001285,Pakistan,Zong,24,13.44,12,773,30/12/2022
C001286,Pakistan,Telenor Pakistan,27,10.75,15,518,22/09/2022
C001287,Kenya,Safaricom,46,17.84,28,847,17/03/2021
C001288,Kenya,Airtel Kenya,56,14.18,16,752,18/05/2020
C001289,Kenya,Safaricom,48,11.6,16,557,20/01/2021
C001290,Ghana,Telecel Ghana,33,11.37,15,501,20/03/2022
C001291,Kenya,Safaricom,34,16.78,16,735,05/03/2022
C001292,Ghana,Telecel Ghana,26,12.81,12,593,13/11/2022
C001293,Ghana,Telecel Ghana,36,10.07,11,478,10/01/2022
C001294,Kenya,Airtel Kenya,51,17.27,21,648,07/10/2020
C001295,Kenya,Safaricom,39,13.52,14,615,05/10/2021
C001296,Kenya,Airtel Kenya,49,19.35,21,743,08/12/2020
C001297,Nigeria,Airtel Nigeria,46,22.85,18,717,22/03/2021
C001298,Nigeria,Airtel Nigeria,56,24.63,24,796,01/05/2020
C001299,Uganda,MTN Uganda,57,12.54,25,723,03/04/2020
